privilege_type,privilege_name,privilege_description,privilege_score,suggested_privilege_score,extended_description
scp,EntitlementManagement.ReadWrite.All,EntitlementManagement.ReadWrite.All,5,10,"Allows read and write access to entitlement management resources. This includes reading and modifying service plans, service plan assignments, and assignment policies."
scp,EntitlementManagement.Read.All,EntitlementManagement.Read.All,5,17,"Entitlement Management is a feature in Microsoft Graph that allows you to manage and monitor entitlements,which are the rights or benefits that an employee is entitled to receive as part of their employment contract. The EntitlementManagement.Read.All privilege allows an app to read all entitlements for a user,including any entitlements that may be assigned to them through a policy or rule."
scp,AccessReview.ReadWrite.Membership,AccessReview.ReadWrite.Membership,5,18,AccessReview.ReadWrite.Membership SCP Privilege
scp,AccessReview.ReadWrite.All,AccessReview.ReadWrite.All,5,18,"AccessReview.ReadWrite.All allows an application to read and write access reviews, including the ability to view and manage decisions and reviewers. This privilege is used by applications that need to automate access review processes, such as HR systems or identity governance solutions. Security implications include the potential for data breaches if the application is compromised, so care should be taken to ensure that only authorized users have access to this privilege. Use-cases include automated access review and management of access requests and decisions, such as granting or denying access to resources based on user attributes or group membership. Guidance includes implementing appropriate security measures to protect the application and data, such as encryption and secure authentication mechanisms. Also, ensure that only authorized users have access to this privilege and that it is only used for legitimate purposes."
scp,AccessReview.Read.All,AccessReview.Read.All,5,17,"AccessReview.Read.All is a privilege in the Microsoft Graph API that allows reading and querying access reviews, including those for groups, applications, and other resources. This privilege can be used to monitor access review activities and ensure compliance with policies. However, it should only be granted to trusted actors who require this level of visibility into the access review process."
scp,Policy.Read.All,Policy.Read.All,5,17,"Policy.Read.All allows you to read all policies and their associated settings. This includes reading policy definitions,assignments,and user or device claims. It also allows you to read the status of policy applications on users or devices."
scp,Policy.ReadWrite.AccessReview,Policy.ReadWrite.AccessReview,5,15,"Policy.ReadWrite.AccessReview allows an actor to read and write access review policies, which can be used to schedule recurring reviews of membership in a group or role. This could potentially allow an attacker to gain unauthorized access to sensitive information or grant privileges to malicious actors. It is important to carefully control who has this privilege and to regularly audit its use."
scp,Files.Read,Files.Read,5,15,"Allow access to read files and file properties. This privilege is used by applications to read files and their properties, such as name, size, and modification date. Applications that require this privilege must be granted explicit consent by an administrator or user before they can access the files."
scp,Files.Read.All,"Files.Read.All, Files.ReadWrite, Files.ReadWrite.All, Sites.Read.All, Sites.ReadWrite.All",5,18,"Files.Read.All allows a service principal to read files in any user's OneDrive account without a signed-in user. This can be used for services like backup and sync apps,but it's important to ensure that the app is authorized only by authorized users and that data is protected in transit and at rest."
scp,Files.ReadWrite,Files.ReadWrite,5,15,"Read and write access to files in a user's OneDrive for Business account, including the ability to create, modify, or delete files and folders. This privilege is typically used by applications that need to read and write data to the user's cloud storage, such as file sync and share apps, productivity tools, and backup software.

Security implications:
Granting this privilege allows an application to access and modify a user's files in their OneDrive for Business account, including sensitive or personal information. Therefore, it is important to carefully evaluate the security posture of the application requesting this privilege before granting it.

Use-cases:
This privilege can be used by applications that need to read and write data to the user's cloud storage, such as file sync and share apps, productivity tools, and backup software. It is also used by applications that require access to a user's files for legitimate business purposes, such as document management or collaboration tools.

Guidance:
When granting this privilege, carefully evaluate the security posture of the application requesting it, including its reputation, track record, and compliance with security best practices. Additionally, consider implementing access controls, such as MFA or conditional access, to ensure that only authorized users can access the user's files. Finally, provide clear instructions and guidelines for users on how to manage their OneDrive for Business account permissions and monitor activity."
