privilege_type,privilege_name,privilege_description,privilege_score
scp,EntitlementManagement.ReadWrite.All,EntitlementManagement.ReadWrite.All,5
scp,EntitlementManagement.Read.All,EntitlementManagement.Read.All,5
scp,AccessReview.ReadWrite.Membership,AccessReview.ReadWrite.Membership,5
scp,AccessReview.ReadWrite.All,AccessReview.ReadWrite.All,5
scp,AccessReview.Read.All,AccessReview.Read.All,5
scp,Policy.Read.All,Policy.Read.All,5
scp,Policy.ReadWrite.AccessReview,Policy.ReadWrite.AccessReview,5
scp,Files.Read,Files.Read,5
scp,Files.Read.All,"Files.Read.All, Files.ReadWrite, Files.ReadWrite.All, Sites.Read.All, Sites.ReadWrite.All",5
scp,Files.ReadWrite,Files.ReadWrite,5
scp,Files.ReadWrite.All,"Files.ReadWrite.All, Sites.ReadWrite.All",5
scp,Sites.Read.All,"Files.Read.All, Files.ReadWrite, Files.ReadWrite.All, Sites.Read.All, Sites.ReadWrite.All",5
scp,Sites.ReadWrite.All,"Files.ReadWrite.All, Sites.ReadWrite.All",5
scp,ContentActivity.Write,ContentActivity.Write,15
scp,Policy.Read.ApplicationConfiguration,Policy.Read.ApplicationConfiguration,5
scp,Policy.ReadWrite.ApplicationConfiguration,Policy.ReadWrite.ApplicationConfiguration,5
scp,Analytics.Read,Analytics.Read,5
scp,OrgSettings-AppsAndServices.Read.All,OrgSettings-AppsAndServices.Read.All,5
scp,OrgSettings-AppsAndServices.ReadWrite.All,OrgSettings-AppsAndServices.ReadWrite.All,5
scp,Policy.ReadWrite.ConsentRequest,Policy.ReadWrite.ConsentRequest,5
scp,Directory.Read.All,"Directory.Read.All, Group.Read.All, Group.ReadWrite.All, GroupMember.ReadWrite.All",5
scp,Directory.ReadWrite.All,Directory.ReadWrite.All,5
scp,OrgSettings-DynamicsVoice.Read.All,OrgSettings-DynamicsVoice.Read.All,5
scp,OrgSettings-DynamicsVoice.ReadWrite.All,OrgSettings-DynamicsVoice.ReadWrite.All,5
scp,OrgSettings-Forms.Read.All,OrgSettings-Forms.Read.All,5
scp,OrgSettings-Forms.ReadWrite.All,OrgSettings-Forms.ReadWrite.All,5
scp,AdministrativeUnit.ReadWrite.All,AdministrativeUnit.ReadWrite.All,5
scp,RoleManagement.ReadWrite.Directory,"Directory.Read.All, Directory.ReadWrite.All, RoleManagement.ReadWrite.Directory",5
scp,AdministrativeUnit.Read.All,AdministrativeUnit.Read.All,5
scp,RoleManagement.Read.Directory,RoleManagement.Read.Directory,5
scp,ReportSettings.Read.All,ReportSettings.Read.All,5
